subject,native_language,RT,log_RT
A1,English,548.538416624135,6.307257316686768
A3,Other,607.7866847115469,6.409823972890876
C,English,564.567563927351,6.336060064518636
D,Other,615.2435938390092,6.422018276927659
I,Other,533.8101053080633,6.280040167679329
J,Other,528.6538439431358,6.270333858396091
K,English,495.45451478776204,6.205475552962657
M1,English,485.60525785819834,6.1853960672365025
M2,Other,721.6233544787848,6.581503333078875
P,Other,632.9746621139612,6.450430393087038
R1,English,561.8734287389192,6.3312766087617645
R2,English,654.3333290364875,6.483616899041597
R3,English,605.4459468292995,6.405965288701626
S,English,603.1599775358565,6.4021824642535075
T1,English,588.3157537221676,6.377263799893939
T2,Other,928.4545566894399,6.8335214368803685
V,Other,735.7272766259858,6.600859501996459
W1,English,524.1842089946031,6.261843166426799
W2,English,653.2133203576856,6.481903753352694
Z,Other,748.6363354630478,6.618253332180525
